Clint Eastwood & General Saint Stop That Train	F# minor (11A)
Clint Eastwood & General Saint Monkey Man	A minor (8A)
Pink Floyd Waiting For The Worms	G major (9B)
Pink Floyd Stop	A minor (8A)
Pink Floyd The Trial	E minor (9A)
Pink Floyd Outside The Wall	C major (8B)
Pink Floyd Speak To Me	C# major (3B)
Pink Floyd Breathe	B minor (10A)
Pink Floyd On The Run	A major (11B)
Pink Floyd Time	A major (11B)
Pink Floyd The Great Gig In The Sky	F major (7B)
Pink Floyd Money	B minor (10A)
Pink Floyd Us And Them	D major (10B)
Pink Floyd Any Colour You Like	C major (8B)
Pink Floyd Brain Damage	D major (10B)
Pink Floyd Eclipse	Bb major (6B)
King Gizzard & The Lizard Wizard The River	E major (12B)
King Gizzard & The Lizard Wizard Infinite Rise	A minor (8A)
King Gizzard & The Lizard Wizard God Is In The Rhythm	C major (8B)
King Gizzard & The Lizard Wizard Lonely Steel Sheet Flyer	F major (7B)
Benny Page Feat. Topcat Sound Fi Dead	G major (9B)
Benny Page Feat. Topcat You've Been Boasting	C# major (3B)
Yann Tiersen I've Never Been There	G major (9B)
Yann Tiersen Cascade Street	C# minor (12A)
Yann Tiersen Not That Simple	G major (9B)
Yann Tiersen Summer Nursery Rhyme No. 2	E minor (9A)
Yann Tiersen Summer Nursery Rhyme No. 3	G major (9B)
Yann Tiersen Already Gone	D minor (7A)
Yann Tiersen The Room	A# minor (3A)
Indica Dubs Meets Shiloh Ites A New Flower	F# minor (11A)
Capleton Prophet Rides Again (Extended Mix)	F# minor (11A)
Capleton Prophet Rides Again (Jungle Rmx)	F# minor (11A)
MJ12 Cosmic Watergate	G# minor (1A)
MJ12 Recovered Technologies	B minor (10A)
E-Z Rollers Skaface	C# major (3B)
E-Z Rollers So Good Tonight	C major (8B)
Mikkim Rub A Dub Rock	D major (10B)
Mikkim Rub A Dub Rock Instrumental	D major (10B)
Mikkim Break The Chains	E minor (9A)
Mikkim Break The Chains Instrumental	E minor (9A)
Daddy Teacha & Uptones No More War	D minor (7A)
Daddy Teacha Mother Of All Versions	B minor (10A)
Irie Ilodica Dreadwise Verse 5	B minor (10A)
Echo Vault & Jah Timothy I N I (Extended Mix)	D major (10B)
Forward Fever Ft Jah Timothy & Cyndica Hungry Lion (Extended Mix)	A# minor (3A)
Jah Embassy Players Ft Jah Timothy Self Confidence	D# minor (2A)
Jah Embassy Players Ft Jah Timothy Self Confidub	D# minor (2A)
Ionyouth Ft Jah Timothy Tim's Piano	Bb major (6B)
Ionyouth Ft Jah Timothy Verse 2	A major (11B)
Dubtown Abbey Ft Irie ilodica Dreadical Dance (Extended Mix)	C major (8B)
Dirty Dubsters Feat. Top Cat Girls Pon Mi Mind (Original Mix)	A# minor (3A)
Dirty Dubsters Feat. Top Cat Girls Pon Mi Mind (LionDub Remix)	Bb major (6B)
Dirty Dubsters Feat. Top Cat Girls Pon Mi Mind (Spenda C Remix)	F# major (2B)
Burning Spear Slavery Days	Bb major (6B)
Burning Spear The Invasion	A minor (8A)
Burning Spear Live Good	F major (7B)
Burning Spear Give Me	C major (8B)
Burning Spear Old Marcus Garvey	C major (8B)
Burning Spear Tradition	C# major (3B)
Burning Spear Jordan River	C# major (3B)
Burning Spear Resting Place	C# major (3B)
Mumford & Sons Awake My Soul	D major (10B)
Mumford & Sons Dust Bowl Dance	F minor (4A)
Mumford & Sons After The Storm	G major (9B)
Johnny Clarke No Lick No Dub	C major (8B)
Don Carlos Bosrock Dub	D major (10B)
Locksley Castell Some Good Dub	A major (11B)
Pale Grey Loss	F minor (4A)
Pale Grey Grace	C# major (3B)
Pale Grey Late Night	A minor (8A)
Pale Grey Ghost	F minor (4A)
Pale Grey Blizzard	Ab major (4B)
Pale Grey Light	C major (8B)
Pale Grey Wave	D major (10B)
The Wildlife Collective Sugar Me	F# minor (11A)
The Wildlife Collective Wadodem	G# minor (1A)
The Wildlife Collective No No No (You Don't Love Me)	Bb major (6B)
The Wildlife Collective Hail Up The Lion	G major (9B)
The Wildlife Collective I Need A Dollar	F# minor (11A)
The Wildlife Collective Bad Bwoy	Bb major (6B)
Ed Solo and Deekline Sensi	B minor (10A)
Ed Solo and Deekline Ghost Town	G major (9B)
Ed Solo and Deekline Man Down	F minor (4A)
Ed Solo and Deekline Untold	F major (7B)
JFB Five On It	A# minor (3A)
JFB Tequila Sunrise	C major (8B)
Jinx In Dub Amen In Session	F major (7B)
Jinx In Dub Seek And Find (Jinx In Dub Meets Kanjah)	C# minor (12A)
Ed Solo And Stickybuds Smoke The Weed	A# minor (3A)
Ed Solo And Stickybuds Joker Smoker	C# major (3B)
DJ Deekline & Ed Solo Hot This Year	G major (9B)
Ed Solo Here I Come	E minor (9A)
Ed Solo Ganja Smuggling	A# minor (3A)
DJ Deekline & Ed Solo, Specimen A Have Some Fun (Club Mix)	C# major (3B)
DJ Deekline & Ed Solo, Specimen A Let The Music Play	F major (7B)
Deekline & Ed Solo Bad Boys (Ben Snow & Jappa Remix)	E minor (9A)
Deekline & Ed Solo Bam Bam (Benny Page & Deekline Remix)	F major (7B)
Brian Brainstorm Footwork Skank	C# major (3B)
Brian Brainstorm Gunshot	A major (11B)
DJ Dubb I'm A Versionist	C# major (3B)
DJ Dubb Cenizas De Babylon	C# minor (12A)
Vandal Mr. Politician	F minor (4A)
Vandal Fyah Burn	D major (10B)
Danger Marc Paradise	E major (12B)
Mandidextrous & Vandal Gals Dem Sugar	C# major (3B)
Vandal Run Off Ya Mouth	B minor (10A)
Suburbass Swing My Brain	B minor (10A)
Vandal & Radium Fatty Fatty	F# minor (11A)
Vandal & Beenie Man More Fire	C# major (3B)
Serial Killaz My Sound A Champion	B major (1B)
Serial Killaz Walk Like A Champion	E minor (9A)
Serial Killaz Worries Inna Dance (Revival Mix)	G major (9B)
Serial Killaz Worries Inna Dance (Rockers Mix)	G major (9B)
Serial Killaz Walk & Skank	D major (10B)
Serial Killaz Put It On	C# major (3B)
Kraftwerk Geiger Counter	A# minor (3A)
Kraftwerk Ohm Sweet Ohm	Ab major (4B)
Kraftwerk Europe Endless	B major (1B)
Kraftwerk The Hall Of Mirrors	E major (12B)
Kraftwerk Showroom Dummies	C minor (5A)
Kraftwerk Trans Europe Express	C# major (3B)
Kraftwerk Metal On Metal	A# minor (3A)
Kraftwerk Abzug	C# major (3B)
Kraftwerk Franz Schubert	D major (10B)
Kraftwerk Endless Endless	B major (1B)
Kraftwerk Mitternacht	D major (10B)
Kraftwerk Morgenspaziergang	E minor (9A)
Terry T Jahoviah Ina Dub	G# minor (1A)
Terry T Only You	A# minor (3A)
Demolition Man Fire (Serial Killaz Remix)	E minor (9A)
Demolition Man Fire (Kenny Ken & Mace Remix)	C# major (3B)
O.B.F. & Mr Williamz Mandela (Tribute To The Freedom Fighter) (Krak In Dub Rmx)	G major (9B)
Skinshape Sua Alma	F major (7B)
Skinshape In The End	Eb major (5B)
Visionary You Can't Surrender	D major (10B)
Vibronics Rastaman's Story	Bb major (6B)
Vibronics Dub Advance	G major (9B)
Vibronics Jah Music	E minor (9A)
Vibronics Jah Dub	B minor (10A)
Vibronics Samsara	C# major (3B)
Vibronics Vintage Dub	A major (11B)
Vibronics Positive Direction	G# minor (1A)
Vibronics Positive Dub	A major (11B)
Vibronics Beat Down Babylon	E major (12B)
Vibronics Dub Crisis	B minor (10A)
Vibronics Kali Mountain	A minor (8A)
Vibronics Rosetta Stone	A# minor (3A)
Vibronics On Jah Side	A minor (8A)
Vibronics On Jah Dub	C major (8B)
Vibronics Mother Earth	B minor (10A)
Alpha & Omega Many Stories To Be Told	C# minor (12A)
Alpha & Omega Book Of Dub	C# minor (12A)
The Disciples Poor Man's Prayer	G major (9B)
Prānā Scarab	C# major (3B)
Kailash Higher (Original)	C# major (3B)
Kailash Higher (Bamboo Mix)	Ab major (4B)
Tame Impala Why Won't They Talk To Me?	G major (9B)
Tame Impala Feels Like We Only Go Backwards	D minor (7A)
Tame Impala Keep On Lying	C minor (5A)
Tame Impala Elephant	A minor (8A)
Tame Impala She Just Won't Believe Me	C major (8B)
Tame Impala Nothing That Has Happened So Far Has Been Anything We Could Control	Eb major (5B)
Tame Impala Sun's Coming Up	G minor (6A)
Radikal Guru Earthwalker	G major (9B)
Radikal Guru Wicked Dub	E minor (9A)
Peter Tosh (You Gotta Walk) Don't Look Back	G major (9B)
Peter Tosh Pick Myself Up	D major (10B)
Peter Tosh I'm The Toughest	A major (11B)
Peter Tosh Soon Come	A minor (8A)
Peter Tosh Moses - The Prophet	A major (11B)
Peter Tosh Bush Doctor	E minor (9A)
Peter Tosh Stand Firm	A major (11B)
Peter Tosh Dem Ha Fe Get A Beatin	A major (11B)
Peter Tosh Creation	C major (8B)
Prince Jammy Shoalin Temple	B major (1B)
Prince Jammy Kamikazi	B major (1B)
Pablo Moses A Step Before Hell	F# minor (11A)
Pablo Moses Last Straw	D minor (7A)
Pablo Moses I See It Everyday	F# major (2B)
Pablo Moses Sister	E major (12B)
MGMT Time To Pretend	D major (10B)
MGMT Weekend Wars	F major (7B)
MGMT The Youth	F major (7B)
MGMT Electric Feel	C# major (3B)
MGMT Kids	A major (11B)
MGMT 4th Dimensional Transition	A major (11B)
MGMT Pieces Of What	E minor (9A)
MGMT Of Moons, Birds & Monsters	C# minor (12A)
MGMT The Handshake	B minor (10A)
MGMT Future Reflections	F major (7B)
Moby Honey	Ab major (4B)
Moby Natural Blues	D# minor (2A)
Moby Machete	F# minor (11A)
Moby If Things Were Perfect	F major (7B)
Moby Everloving	E minor (9A)
Moby Inside	D major (10B)
Moby My Weakness	E major (12B)
Tippa Irie Wicked & Wild (Dancehall Style)	B minor (10A)
Million Stylez Police In Helicopter (Frisk Mix)	C minor (5A)
YT, Million Stylez, Tenor Fly, Blackout Ja & Mr Williamz Dubplate (Benny Page Remix)	C major (8B)
YT, Million Stylez, Tenor Fly, Blackout Ja & Mr Williamz Dubplate (Benny Page Dub)	G# minor (1A)
Turntable Dubbers I Say Yeah	C# major (3B)
Viniselecta & U Stone Computer Dub	B minor (10A)
Viniselecta & U Stone Stone In My Heart	Bb major (6B)
Dj Panik & M-Rode 18 & Over	C# major (3B)
Dj Panik & M-Rode Shine Eyes Girl	C# major (3B)
Viniselecta and U Stone Feat. Jah Call Bless I	Ab major (4B)
Viniselecta and U Stone Feat. Jah Call Bless I (Dub Mix)	A# minor (3A)
Anetha Dishinibition	D major (10B)
Anetha Return Ticket	B minor (10A)
Cadency In Your Mind	C major (8B)
Cadency Unbroken	A# minor (3A)
Spoonbill Open Misère	F minor (4A)
Spoonbill Gullydupling	C minor (5A)
Spoonbill, Eastward Skyview	G major (9B)
Spoonbill Menagerie	C major (8B)
Spoonbill Coolabah	F minor (4A)
Visionary Run For Your Life	F# minor (11A)
Visionary Dead Man Walking	C# minor (12A)
Visionary Whip Them Soundboy	A# minor (3A)
Isaac Maya Another Meditation	G# minor (1A)
Fuzzy Logic Double Barrel	E major (12B)
Don Fe / Mahom Nay El Mektoub	G major (9B)
Ott A Load Up At Nunney Catch	E major (12B)
Ott Scilly Automatic	B minor (10A)
Ott Jack's Cheese And Bread Snack	C major (8B)
Ott Somersettler	A# minor (3A)
Ott Splitting An Atom	A minor (8A)
Ott Escape From Tulse Hell	E minor (9A)
Ott Cley Hill	C# minor (12A)
Ott Billy The Kid Strikes Back	F major (7B)
Ott From Trunch To Stromness	Bb major (6B)
Ott The Queen Of All Everything	B minor (10A)
Ott Rogue Bagel	Ab major (4B)
Ott Daisies And Rubies	A minor (8A)
Ott Signals From Bob	C# major (3B)
Ott 382 Seaside	D major (10B)
Ott Roflcopter	G# minor (1A)
Ott A Shower Of Sparks	E minor (9A)
Ott A Gentle Place By Birth Is You	E major (12B)
